Algorithm,File,Tour: Sequence of nodes,Total weight
Nearest Neighbor,4n.csv,0->1->2->3->0,2611.0
Nearest Insertion,4n.csv,0->3->2->1->0,2611.0
Dynamic Programming,4n.csv,0->1->2->3->0,2611.0
Branch-and-Bound,4n.csv,0->1->2->3->0,2611.0
Nearest Neighbor,5n.csv,0->3->2->4->1->0,1290.0
Nearest Insertion,5n.csv,2->4->1->0->3->2,1290.0
Dynamic Programming,5n.csv,0->1->2->4->3->0,1146.0
Branch-and-Bound,5n.csv,0->1->2->4->3->0,1146.0
Nearest Neighbor,6n.csv,0->5->3->4->1->2->0,3198.0
Nearest Insertion,6n.csv,1->0->5->3->2->4->1,2455.0
Dynamic Programming,6n.csv,0->1->4->2->3->5->0,2455.0
Branch-and-Bound,6n.csv,0->1->4->2->3->5->0,2455.0
Nearest Neighbor,7n.csv,0->6->4->3->1->5->2->0,2425.0
Nearest Insertion,7n.csv,0->1->5->2->3->4->6->0,1993.0
Dynamic Programming,7n.csv,0->1->5->2->3->4->6->0,1993.0
Branch-and-Bound,7n.csv,0->1->5->2->3->4->6->0,1993.0
Nearest Neighbor,8n.csv,0->2->4->1->6->3->5->7->0,2898.0
Nearest Insertion,8n.csv,3->7->1->6->0->2->4->5->3,2692.0
Dynamic Programming,8n.csv,0->2->4->1->7->5->3->6->0,2667.0
Branch-and-Bound,8n.csv,0->2->4->1->7->5->3->6->0,2667.0
Nearest Neighbor,9n.csv,0->8->1->6->5->2->3->7->4->0,2842.0
Nearest Insertion,9n.csv,1->7->3->0->8->4->2->5->6->1,2588.0
Dynamic Programming,9n.csv,0->3->2->4->1->6->5->7->8->0,2439.0
Branch-and-Bound,9n.csv,0->3->2->4->1->6->5->7->8->0,2439.0
Nearest Neighbor,10n.csv,0->7->8->4->2->6->5->3->1->9->0,3008.0
Nearest Insertion,10n.csv,2->7->0->9->1->3->8->4->5->6->2,3423.0
Dynamic Programming,10n.csv,0->5->6->2->4->9->1->3->8->7->0,2953.0
Branch-and-Bound,10n.csv,0->5->6->2->4->9->1->3->8->7->0,2953.0
Nearest Neighbor,11n.csv,0->1->6->4->8->2->9->7->5->10->3->0,3350.0
Nearest Insertion,11n.csv,0->3->5->2->9->7->8->4->10->6->1->0,2867.0
Dynamic Programming,11n.csv,0->1->6->10->5->2->9->7->8->4->3->0,2701.0
Branch-and-Bound,11n.csv,0->1->6->10->5->2->9->7->8->4->3->0,2701.0
Nearest Neighbor,12n.csv,0->8->3->5->6->4->7->11->10->2->1->9->0,2646.0
Nearest Insertion,12n.csv,10->6->5->1->2->3->8->9->0->4->7->11->10,2930.0
Dynamic Programming,12n.csv,0->6->4->7->5->3->8->1->2->10->11->9->0,1907.0
Branch-and-Bound,12n.csv,0->6->4->7->5->3->8->1->2->10->11->9->0,1907.0
Nearest Neighbor,13n.csv,0->9->2->11->7->12->3->6->1->5->4->8->10->0,3653.0
Nearest Insertion,13n.csv,1->10->7->12->2->9->0->11->8->3->6->4->5->1,3031.0
Dynamic Programming,13n.csv,0->11->2->9->10->7->8->4->5->1->6->3->12->0,2523.0
Branch-and-Bound,13n.csv,0->11->2->9->10->7->8->4->5->1->6->3->12->0,2523.0
